Order_ID,Customer_ID,Product_ID,Category,Supplier,Region,Marketing_Channel,Order_Date,Price,Quantity,Customer_Age,Payment_Type,Shipping_Time_days,Delivery_Issue,Return_Flag,Return_Reason
ORD100018,CUST12715,PID8518,Home Decor,CozyLiving,UK,Google Ads,2023-11-05,66.65,2,30,Credit Card,8,No,0,
ORD100019,CUST10926,PID4037,Sports,Sportify,India,Google Ads,2023-12-10,38.03,1,41,Credit Card,3,No,0,
ORD100020,CUST14141,PID5177,Sports,Sportify,UK,Facebook/Instagram,2024-05-06,69.32,1,35,Credit Card,8,No,0,
ORD100021,CUST10398,PID5476,Beauty,GlowLabs,Australia,Referral,2024-02-18,22.58,2,29,Wallet,7,Yes,0,
ORD100022,CUST12240,PID7042,Electronics,Digitron,Germany,Google Ads,2024-01-21,113.23,1,28,UPI,10,No,0,
ORD100023,CUST13667,PID8121,Beauty,GlowLabs,Australia,Google Ads,2023-07-11,27.6,1,18,Credit Card,5,No,0,
ORD100024,CUST12648,PID2102,Beauty,GlowLabs,Australia,Organic,2023-10-04,14.25,1,27,UPI,5,No,0,
ORD100025,CUST11179,PID1016,Home Decor,HomeSense,USA,Facebook/Instagram,2023-06-10,65.32,1,24,Wallet,8,No,0,
ORD100026,CUST11773,PID2374,Fashion,FabricHub,India,Organic,2024-04-04,52.9,3,24,Credit Card,4,No,0,
ORD100027,CUST11915,PID1302,Home Decor,DecoCraft,UK,Organic,2023-11-10,106.21,1,32,Credit Card,6,No,0,
ORD100028,CUST10284,PID3160,Beauty,PureBeauty,India,Organic,2023-01-22,31.48,2,30,UPI,9,No,0,
ORD100029,CUST12542,PID6458,Electronics,GadgetPro,Australia,Google Ads,2023-09-10,368.82,1,27,Credit Card,1,No,0,
ORD100030,CUST10104,PID9490,Fashion,StylishCo,USA,Google Ads,2024-07-14,42.07,1,47,Debit Card,1,No,0,
ORD100031,CUST11113,PID7212,Sports,GearHouse,Germany,Organic,2024-04-19,145.16,3,31,Wallet,1,No,0,
ORD100032,CUST11833,PID1325,Fashion,FabricHub,Canada,Organic,2023-02-28,32.68,1,35,Credit Card,5,No,0,
ORD100033,CUST12914,PID7566,Fashion,TrendWear,USA,Email,2024-05-25,43.75,1,33,Credit Card,9,No,0,
ORD100034,CUST12025,PID6367,Fashion,FabricHub,India,Organic,2024-11-12,48.74,1,32,Wallet,6,No,0,
ORD100035,CUST11336,PID3285,Electronics,TechWorks,USA,Organic,2024-04-20,287.09,2,40,Credit Card,6,No,0,
ORD100036,CUST14826,PID6809,Fashion,TrendWear,USA,Organic,2024-11-30,53.32,1,17,Debit Card,2,No,0,
ORD100037,CUST13307,PID3596,Beauty,GlowLabs,India,Email,2023-07-09,34.38,2,24,Credit Card,4,No,0,
ORD100038,CUST10507,PID4478,Home Decor,HomeSense,Germany,Email,2024-11-17,26.76,1,32,Credit Card,2,No,0,
ORD100039,CUST13251,PID6054,Home Decor,HomeSense,USA,Facebook/Instagram,2024-07-16,106.94,1,42,COD,9,No,0,
ORD100040,CUST13994,PID6952,Beauty,PureBeauty,Canada,Email,2024-07-20,32.82,1,20,Wallet,10,Yes,0,
ORD100041,CUST11074,PID9783,Home Decor,CozyLiving,USA,Organic,2023-09-01,51.6,2,22,UPI,8,No,0,
ORD100042,CUST10952,PID4179,Fashion,StylishCo,India,Facebook/Instagram,2024-05-19,31.75,1,49,Wallet,5,No,0,
ORD100043,CUST13495,PID5355,Electronics,GadgetPro,USA,Facebook/Instagram,2023-05-11,177.13,1,26,Debit Card,8,No,0,
ORD100044,CUST13158,PID1164,Fashion,FabricHub,USA,Email,2024-04-29,67.83,1,34,Wallet,5,No,0,
ORD100045,CUST14670,PID6203,Fashion,FabricHub,Australia,Organic,2024-10-08,36.76,1,40,Debit Card,7,Yes,0,
ORD100046,CUST13212,PID6943,Home Decor,CozyLiving,USA,Organic,2023-01-21,78.83,1,18,Debit Card,4,No,0,
ORD100047,CUST12216,PID6766,Fashion,TrendWear,India,Organic,2023-06-16,66.71,1,16,Credit Card,4,Yes,0,
ORD100048,CUST11499,PID8626,Beauty,SkinCareInc,Canada,Facebook/Instagram,2023-10-01,33.51,1,25,Debit Card,1,No,0,
ORD100049,CUST13179,PID9420,Fashion,FabricHub,USA,Email,2024-01-23,48.96,1,33,Credit Card,3,No,0,
ORD100050,CUST10518,PID6444,Electronics,GadgetPro,UK,Organic,2024-08-23,244.87,1,43,UPI,7,No,0,
ORD100051,CUST10307,PID6918,Beauty,PureBeauty,USA,Organic,2023-11-12,26.52,1,52,Credit Card,1,No,0,
ORD100052,CUST12654,PID4715,Electronics,Digitron,USA,Email,2023-01-14,234.4,1,34,UPI,2,No,0,
ORD100053,CUST12954,PID1629,Fashion,FabricHub,USA,Email,2023-08-30,28.95,1,41,UPI,2,No,0,
ORD100054,CUST11505,PID2010,Home Decor,HomeSense,Canada,Organic,2023-12-12,137.35,1,33,UPI,1,No,0,
ORD100055,CUST11920,PID6668,Sports,GearHouse,USA,Organic,2024-07-18,49.81,1,48,Credit Card,4,No,0,
ORD100056,CUST13408,PID1248,Sports,Sportify,USA,Organic,2023-12-06,118.21,1,34,Credit Card,6,No,0,
ORD100057,CUST13656,PID6488,Fashion,TrendWear,India,Google Ads,2023-04-02,41.69,1,36,COD,6,No,0,
ORD100058,CUST10181,PID4344,Home Decor,CozyLiving,USA,Organic,2024-01-02,113.84,1,40,COD,3,No,0,
ORD100059,CUST13545,PID5625,Home Decor,DecoCraft,Canada,Facebook/Instagram,2024-03-30,61.29,1,33,COD,4,No,0,
ORD100060,CUST12737,PID6239,Fashion,FabricHub,UK,Email,2024-03-03,32.58,1,16,UPI,1,No,0,
ORD100061,CUST10184,PID2248,Fashion,FabricHub,Australia,Organic,2024-05-23,47.33,1,31,Credit Card,1,No,0,
ORD100062,CUST10581,PID2798,Electronics,Digitron,India,Google Ads,2023-02-04,142.47,1,55,Credit Card,8,No,0,
ORD100063,CUST10037,PID6438,Fashion,TrendWear,India,Email,2023-07-25,46.36,1,45,UPI,5,No,0,
ORD100064,CUST11090,PID3076,Beauty,SkinCareInc,India,Google Ads,2023-03-22,34.55,1,31,Credit Card,1,No,0,
ORD100065,CUST11691,PID2104,Sports,GearHouse,Australia,Email,2024-07-15,101.71,1,45,Credit Card,5,No,1,Wrong Size
ORD100066,CUST12560,PID3749,Home Decor,CozyLiving,USA,Organic,2024-01-23,5.87,1,25,COD,4,No,0,
ORD100067,CUST11315,PID9675,Fashion,TrendWear,India,Organic,2023-01-02,10.52,1,40,Credit Card,8,No,1,Damaged
ORD100068,CUST10277,PID7659,Electronics,Digitron,USA,Referral,2024-01-25,351.3,1,33,Wallet,7,No,0,
ORD100069,CUST14190,PID2130,Beauty,PureBeauty,UK,Facebook/Instagram,2024-07-19,21.79,3,30,Credit Card,1,No,0,
ORD100070,CUST13693,PID5297,Fashion,TrendWear,India,Email,2023-04-16,39.27,1,23,Credit Card,5,No,0,
ORD100071,CUST11859,PID4449,Home Decor,DecoCraft,India,Google Ads,2024-04-21,34.27,1,38,Credit Card,4,No,0,
ORD100072,CUST13139,PID5735,Fashion,FabricHub,Canada,Organic,2024-02-06,42.06,1,20,Credit Card,1,No,0,
ORD100073,CUST11594,PID2952,Fashion,FabricHub,India,Organic,2024-07-09,63.13,1,19,Wallet,5,No,1,Wrong Size
ORD100074,CUST14499,PID2150,Home Decor,HomeSense,India,Organic,2023-06-11,110.94,1,28,Credit Card,5,Yes,0,
ORD100075,CUST14960,PID3025,Home Decor,HomeSense,Germany,Google Ads,2023-07-21,71.5,3,42,Debit Card,1,No,0,
ORD100076,CUST12758,PID5107,Electronics,Digitron,India,Organic,2023-09-27,4.06,1,16,Credit Card,10,No,0,
ORD100077,CUST13410,PID2149,Sports,GearHouse,UK,Organic,2023-09-28,84.85,2,21,UPI,7,No,0,
ORD100078,CUST14733,PID2649,Home Decor,HomeSense,Australia,Google Ads,2024-03-31,57.47,2,45,Credit Card,5,No,0,
ORD100079,CUST13521,PID5517,Beauty,PureBeauty,Germany,Facebook/Instagram,2024-04-06,27.71,2,39,Wallet,8,No,0,
ORD100080,CUST11024,PID4403,Fashion,FabricHub,India,Facebook/Instagram,2023-09-09,20.02,1,21,Credit Card,5,No,1,No Longer Needed
ORD100081,CUST12973,PID4097,Electronics,TechWorks,Germany,Organic,2023-10-23,535.94,2,43,Wallet,1,No,0,
ORD100082,CUST13558,PID3372,Electronics,Digitron,India,Email,2023-12-04,20.97,1,20,Credit Card,5,No,0,
ORD100083,CUST10762,PID2004,Electronics,GadgetPro,Australia,Referral,2023-02-22,81.58,1,16,Credit Card,9,No,0,
ORD100084,CUST13756,PID5691,Fashion,StylishCo,USA,Google Ads,2023-08-05,31.13,1,37,Credit Card,7,No,0,
ORD100085,CUST10394,PID4452,Home Decor,CozyLiving,USA,Facebook/Instagram,2023-07-07,9.46,1,31,Debit Card,6,No,0,
ORD100086,CUST11466,PID8167,Beauty,SkinCareInc,Germany,Organic,2024-01-15,26.86,2,30,Credit Card,9,No,0,
ORD100087,CUST11948,PID3217,Sports,GearHouse,UK,Google Ads,2024-05-07,134.09,1,16,Credit Card,1,No,0,
ORD100088,CUST14752,PID5885,Home Decor,CozyLiving,USA,Organic,2023-02-10,90.17,1,23,Wallet,1,No,0,
ORD100089,CUST14900,PID8775,Beauty,GlowLabs,USA,Organic,2023-06-06,19.13,1,37,Credit Card,5,No,1,Damaged
ORD100090,CUST11300,PID9657,Fashion,StylishCo,India,Email,2023-01-15,16.14,1,26,Credit Card,9,No,0,
ORD100091,CUST12439,PID6269,Electronics,GadgetPro,Australia,Facebook/Instagram,2023-03-06,148.23,1,25,Wallet,8,No,0,
ORD100092,CUST12607,PID8660,Electronics,GadgetPro,Germany,Email,2024-06-04,318.75,1,40,Wallet,7,No,0,
ORD100093,CUST10569,PID3834,Fashion,StylishCo,USA,Facebook/Instagram,2023-12-10,69.55,1,17,COD,2,No,1,Not as Described
ORD100094,CUST14858,PID3416,Fashion,FabricHub,USA,Email,2023-05-09,17.1,1,30,Credit Card,8,No,0,
ORD100095,CUST11345,PID1526,Electronics,TechWorks,Canada,Facebook/Instagram,2024-10-09,382.84,2,30,Wallet,4,No,0,
ORD100096,CUST13678,PID5787,Beauty,SkinCareInc,USA,Facebook/Instagram,2024-04-16,29.6,1,29,Credit Card,9,No,0,
ORD100097,CUST14224,PID4198,Electronics,GadgetPro,Australia,Google Ads,2023-03-04,425.76,1,41,Credit Card,9,No,1,Not as Described
ORD100098,CUST11686,PID1256,Fashion,FabricHub,India,Facebook/Instagram,2023-05-19,75.62,1,22,Credit Card,2,No,0,
ORD100099,CUST13897,PID9167,Home Decor,HomeSense,India,Organic,2024-05-13,97.35,1,18,UPI,7,No,0,
ORD100100,CUST11316,PID9109,Sports,GearHouse,UK,Organic,2024-08-15,39.89,1,29,COD,5,No,0,
ORD100101,CUST10834,PID6691,Home Decor,DecoCraft,Australia,Google Ads,2024-01-27,73.99,2,18,Credit Card,5,No,0,
ORD100102,CUST10574,PID2381,Electronics,Digitron,USA,Organic,2024-11-05,312.06,1,44,UPI,4,Yes,0,
ORD100103,CUST14768,PID6419,Fashion,FabricHub,UK,Facebook/Instagram,2024-02-23,64.51,1,27,Credit Card,13,Yes,0,
ORD100104,CUST13389,PID4178,Beauty,GlowLabs,Germany,Organic,2023-10-16,13.23,1,52,Wallet,5,No,0,
ORD100105,CUST13272,PID7626,Beauty,SkinCareInc,UK,Facebook/Instagram,2024-01-14,21.27,1,32,Credit Card,7,No,0,
ORD100106,CUST13930,PID6776,Electronics,TechWorks,Australia,Facebook/Instagram,2024-05-04,264.53,1,35,Debit Card,7,No,0,
ORD100107,CUST12795,PID7452,Electronics,GadgetPro,USA,Email,2023-08-19,233.16,1,50,Debit Card,3,No,0,
ORD100108,CUST11384,PID6412,Electronics,GadgetPro,India,Organic,2023-02-10,542.27,1,23,Credit Card,4,No,1,Damaged
ORD100109,CUST11217,PID5174,Fashion,FabricHub,Canada,Google Ads,2023-01-28,25.61,1,36,COD,1,No,0,
ORD100110,CUST12600,PID5370,Home Decor,CozyLiving,Germany,Google Ads,2023-05-15,101.62,1,28,Credit Card,1,Yes,1,Damaged
ORD100111,CUST12402,PID3193,Home Decor,CozyLiving,Australia,Google Ads,2023-07-20,85.38,1,36,Debit Card,1,No,0,
ORD100112,CUST10487,PID1949,Sports,Sportify,USA,Google Ads,2023-02-02,112.79,1,17,UPI,5,No,0,
ORD100113,CUST10855,PID7577,Sports,ActiveFit,India,Email,2023-02-17,72.6,1,52,Credit Card,4,Yes,0,
ORD100114,CUST12652,PID1944,Beauty,SkinCareInc,USA,Google Ads,2024-05-17,13.38,1,27,COD,7,No,0,
ORD100115,CUST14621,PID5333,Home Decor,HomeSense,Germany,Google Ads,2024-02-11,2.35,1,24,Credit Card,5,No,0,
ORD100116,CUST11814,PID4325,Sports,Sportify,Germany,Organic,2024-07-27,49.26,1,40,Credit Card,6,No,0,
ORD100117,CUST10511,PID8983,Fashion,StylishCo,Canada,Email,2023-04-09,37.45,1,47,Credit Card,7,No,0,
ORD100118,CUST13824,PID4436,Electronics,Digitron,UK,Organic,2024-11-14,336.86,1,30,COD,3,No,0,
ORD100119,CUST10317,PID2776,Fashion,TrendWear,Canada,Organic,2024-06-30,69.97,1,24,Credit Card,1,No,1,Wrong Size
ORD100120,CUST11550,PID3690,Home Decor,CozyLiving,USA,Organic,2024-09-04,80.74,1,41,Credit Card,6,No,0,
ORD100121,CUST11291,PID1978,Fashion,TrendWear,Australia,Google Ads,2024-04-06,57.31,1,29,COD,1,Yes,0,
ORD100122,CUST14905,PID8176,Beauty,SkinCareInc,India,Email,2024-10-04,22.29,1,26,COD,2,No,0,
ORD100123,CUST12439,PID6983,Electronics,Digitron,USA,Organic,2023-01-05,183.22,1,25,COD,8,No,0,
ORD100124,CUST10098,PID6916,Fashion,TrendWear,Canada,Email,2023-08-06,30.06,1,45,COD,8,No,1,Damaged
ORD100125,CUST12948,PID6484,Beauty,PureBeauty,India,Organic,2024-05-17,32.86,1,28,COD,5,No,0,
ORD100126,CUST10591,PID3569,Electronics,TechWorks,India,Facebook/Instagram,2024-02-02,315.83,1,20,Credit Card,8,Yes,1,Damaged
ORD100127,CUST11266,PID9632,Fashion,StylishCo,India,Facebook/Instagram,2024-01-28,56.46,1,18,COD,6,No,0,
ORD100128,CUST14396,PID5583,Electronics,GadgetPro,Australia,Google Ads,2023-07-26,314.87,1,29,Credit Card,7,No,0,
ORD100129,CUST11887,PID7993,Fashion,TrendWear,Canada,Organic,2023-01-15,76.87,1,18,Credit Card,1,No,0,
ORD100130,CUST13836,PID9697,Beauty,GlowLabs,Germany,Google Ads,2024-07-07,31.49,1,38,Debit Card,6,No,1,Damaged
ORD100131,CUST13088,PID5539,Electronics,GadgetPro,India,Organic,2024-04-05,222.03,1,35,Credit Card,1,Yes,1,Changed Mind
ORD100132,CUST11038,PID1832,Home Decor,DecoCraft,Germany,Facebook/Instagram,2024-11-21,97.48,1,39,Credit Card,5,No,0,
ORD100133,CUST14782,PID4137,Fashion,FabricHub,India,Email,2024-07-28,33.75,1,35,Credit Card,1,No,0,
ORD100134,CUST11905,PID5797,Fashion,StylishCo,UK,Facebook/Instagram,2023-08-29,29.57,1,31,Credit Card,4,No,1,No Longer Needed
ORD100135,CUST13722,PID5999,Fashion,FabricHub,USA,Organic,2024-07-17,6.36,1,32,UPI,4,No,0,
ORD100136,CUST13174,PID4747,Electronics,GadgetPro,UK,Email,2023-04-06,283.94,2,18,Credit Card,3,No,0,
ORD100137,CUST11669,PID2556,Fashion,FabricHub,India,Organic,2024-04-29,6.69,1,43,Credit Card,1,No,0,
ORD100138,CUST11942,PID1097,Fashion,FabricHub,Canada,Referral,2024-02-11,64.36,1,35,Debit Card,4,No,0,
ORD100139,CUST10505,PID5815,Electronics,GadgetPro,Canada,Facebook/Instagram,2023-08-19,300.9,1,44,Wallet,7,Yes,1,Not as Described
ORD100140,CUST12002,PID3935,Fashion,TrendWear,USA,Google Ads,2024-10-16,63.5,3,18,Wallet,5,No,0,
ORD100141,CUST12882,PID6527,Sports,ActiveFit,USA,Organic,2023-06-20,43.34,1,16,UPI,1,No,0,
ORD100142,CUST10860,PID4685,Fashion,StylishCo,USA,Facebook/Instagram,2024-06-24,43.96,1,40,Debit Card,1,Yes,1,Not as Described
ORD100143,CUST13683,PID2853,Home Decor,DecoCraft,India,Organic,2023-02-05,120.68,2,34,UPI,7,No,0,
ORD100144,CUST13204,PID1846,Home Decor,DecoCraft,India,Google Ads,2024-06-08,115.15,1,36,Credit Card,6,No,0,
ORD100145,CUST10815,PID8646,Electronics,Digitron,USA,Organic,2023-06-09,673.96,1,38,Credit Card,8,No,1,Changed Mind
ORD100146,CUST11153,PID6921,Sports,GearHouse,Germany,Organic,2024-11-29,4.7,3,26,UPI,3,No,0,
ORD100147,CUST11316,PID5074,Fashion,StylishCo,Australia,Google Ads,2023-08-31,29.31,3,41,Credit Card,4,No,0,
ORD100148,CUST12568,PID5799,Fashion,FabricHub,India,Organic,2023-03-27,38.55,1,39,Credit Card,5,No,0,
ORD100149,CUST12348,PID5298,Electronics,Digitron,UK,Organic,2024-07-31,422.24,2,20,Credit Card,9,No,0,
ORD100150,CUST10106,PID2903,Fashion,TrendWear,USA,Organic,2024-11-12,46.4,1,20,Credit Card,4,Yes,0,
ORD100151,CUST11995,PID7668,Fashion,StylishCo,Australia,Facebook/Instagram,2024-07-10,69.43,1,40,Debit Card,7,Yes,0,
ORD100152,CUST14657,PID8782,Beauty,GlowLabs,Australia,Facebook/Instagram,2024-07-27,15.28,1,36,Credit Card,1,No,0,
ORD100153,CUST11391,PID9059,Fashion,FabricHub,UK,Google Ads,2024-10-07,69.05,1,49,Debit Card,1,No,1,Damaged
ORD100154,CUST11250,PID3301,Fashion,FabricHub,USA,Facebook/Instagram,2023-01-28,47.92,1,37,Credit Card,4,No,0,
ORD100155,CUST11492,PID2458,Fashion,StylishCo,Canada,Facebook/Instagram,2024-09-11,16.36,1,34,UPI,1,No,0,
ORD100156,CUST13081,PID8527,Sports,ActiveFit,Germany,Organic,2024-07-09,15.73,1,35,Debit Card,2,No,0,
ORD100157,CUST10517,PID5086,Home Decor,HomeSense,India,Organic,2023-12-06,77.91,1,45,Wallet,7,No,1,Late Delivery
ORD100158,CUST11135,PID6009,Fashion,FabricHub,USA,Organic,2023-11-27,75.94,1,61,Credit Card,6,No,1,Wrong Size
ORD100159,CUST13048,PID7544,Beauty,PureBeauty,UK,Email,2024-10-01,39.87,1,38,COD,4,Yes,0,
ORD100160,CUST11037,PID9463,Electronics,TechWorks,USA,Referral,2024-05-20,314.93,1,31,Credit Card,4,No,0,
ORD100161,CUST10582,PID2990,Electronics,TechWorks,Australia,Facebook/Instagram,2023-12-14,191.36,1,35,Credit Card,1,No,0,
ORD100162,CUST10159,PID6938,Beauty,PureBeauty,India,Google Ads,2024-04-17,27.94,1,39,Credit Card,2,No,0,
ORD100163,CUST10390,PID9116,Fashion,TrendWear,USA,Google Ads,2023-08-19,20.3,1,32,Credit Card,5,No,0,
ORD100164,CUST11913,PID8806,Fashion,TrendWear,Canada,Facebook/Instagram,2023-07-09,42.39,1,24,Debit Card,10,No,1,Damaged
ORD100165,CUST12620,PID8597,Home Decor,HomeSense,UK,Facebook/Instagram,2023-08-13,23.72,1,33,Credit Card,5,No,0,
ORD100166,CUST11529,PID1072,Home Decor,DecoCraft,USA,Email,2024-01-20,128.2,1,22,Credit Card,5,No,0,
ORD100167,CUST12871,PID3677,Sports,Sportify,Canada,Google Ads,2024-01-12,48.52,1,20,Credit Card,5,No,0,
ORD100168,CUST11646,PID8378,Electronics,GadgetPro,Germany,Organic,2023-10-10,167.69,1,34,Credit Card,6,No,0,
ORD100169,CUST13311,PID2967,Beauty,PureBeauty,India,Organic,2024-09-24,29.35,1,16,Credit Card,6,No,1,Changed Mind
ORD100170,CUST11857,PID7558,Fashion,FabricHub,India,Google Ads,2024-09-19,63.7,1,43,Credit Card,1,No,0,
ORD100171,CUST14701,PID2013,Fashion,FabricHub,USA,Facebook/Instagram,2023-09-16,11.55,1,26,Credit Card,3,No,0,
ORD100172,CUST13144,PID2982,Beauty,GlowLabs,Australia,Facebook/Instagram,2023-12-25,19.6,1,30,Credit Card,8,No,0,
ORD100173,CUST12124,PID4892,Home Decor,CozyLiving,USA,Organic,2024-03-31,65.06,1,38,Credit Card,4,No,0,
ORD100174,CUST11712,PID2194,Electronics,GadgetPro,USA,Organic,2024-02-15,161.56,1,33,Wallet,6,No,0,
ORD100175,CUST14732,PID7141,Beauty,SkinCareInc,Canada,Organic,2024-10-10,48.88,2,16,Wallet,8,No,0,
ORD100176,CUST11730,PID3472,Home Decor,DecoCraft,USA,Organic,2023-11-14,83.03,2,29,Wallet,9,Yes,1,Late Delivery
ORD100177,CUST11085,PID5376,Electronics,GadgetPro,Australia,Google Ads,2024-11-07,340.22,1,41,Credit Card,3,Yes,0,
ORD100178,CUST13193,PID1303,Beauty,SkinCareInc,USA,Email,2023-08-13,21.53,1,28,Credit Card,9,No,0,
ORD100179,CUST13878,PID4756,Home Decor,DecoCraft,India,Google Ads,2023-08-22,79.24,1,27,Credit Card,1,Yes,0,
ORD100180,CUST12480,PID8476,Beauty,SkinCareInc,UK,Organic,2024-11-14,24.95,2,45,COD,5,No,0,
ORD100181,CUST14435,PID2881,Sports,Sportify,USA,Organic,2024-10-25,71.3,2,16,Credit Card,1,No,0,
ORD100182,CUST14728,PID3498,Sports,Sportify,India,Google Ads,2024-01-09,126.23,1,40,Wallet,8,No,0,
ORD100183,CUST12295,PID2348,Electronics,GadgetPro,USA,Email,2024-11-02,342.83,1,37,Wallet,7,No,0,
ORD100184,CUST10031,PID5874,Fashion,FabricHub,USA,Organic,2024-08-30,42.67,1,37,COD,1,Yes,0,
ORD100185,CUST11787,PID4672,Home Decor,HomeSense,Germany,Email,2024-04-16,75.57,1,35,Wallet,3,No,0,
ORD100186,CUST11576,PID9982,Home Decor,HomeSense,India,Facebook/Instagram,2023-08-21,82.14,1,36,Wallet,2,No,0,
ORD100187,CUST12763,PID2229,Electronics,GadgetPro,USA,Organic,2024-11-22,43.11,2,40,Credit Card,3,No,0,
ORD100188,CUST10695,PID5013,Home Decor,CozyLiving,Australia,Organic,2023-04-23,22.81,1,32,Wallet,6,No,0,
ORD100189,CUST14024,PID7615,Home Decor,DecoCraft,Germany,Google Ads,2024-05-11,89.05,1,35,Credit Card,8,Yes,0,
ORD100190,CUST10106,PID4168,Sports,ActiveFit,USA,Organic,2024-03-17,58.99,1,49,Credit Card,6,Yes,0,
ORD100191,CUST11816,PID9896,Home Decor,DecoCraft,Canada,Organic,2024-07-17,94.84,2,28,Debit Card,3,No,1,Changed Mind
ORD100192,CUST13236,PID9235,Electronics,GadgetPro,UK,Google Ads,2023-09-25,321.74,1,51,COD,6,No,0,
ORD100193,CUST14991,PID4496,Sports,ActiveFit,USA,Google Ads,2024-05-24,33.86,1,47,COD,10,No,0,
ORD100194,CUST12156,PID5139,Home Decor,DecoCraft,Germany,Organic,2024-01-21,97.92,1,45,Credit Card,1,No,0,
ORD100195,CUST14795,PID3523,Sports,Sportify,USA,Organic,2024-01-22,51.19,1,44,Credit Card,4,No,0,
ORD100196,CUST14553,PID8946,Sports,GearHouse,India,Organic,2023-04-23,83.21,1,16,Debit Card,7,Yes,0,
ORD100197,CUST13054,PID7028,Fashion,TrendWear,USA,Google Ads,2024-09-04,91.8,1,20,Credit Card,8,No,0,
ORD100198,CUST10596,PID6873,Home Decor,DecoCraft,India,Facebook/Instagram,2024-09-16,105.04,2,45,COD,5,No,0,
ORD100199,CUST13221,PID8975,Electronics,TechWorks,Australia,Facebook/Instagram,2023-03-22,92.62,1,35,Credit Card,1,No,0,
ORD100200,CUST10542,PID5635,Fashion,StylishCo,India,Organic,2024-11-29,29.78,1,31,Credit Card,8,No,0,
ORD100201,CUST11986,PID8300,Beauty,PureBeauty,USA,Google Ads,2023-04-23,53.0,2,64,Credit Card,6,No,1,Damaged
ORD100202,CUST10636,PID4036,Beauty,PureBeauty,Germany,Organic,2023-01-02,27.71,2,26,Wallet,6,No,0,
ORD100203,CUST11268,PID1372,Fashion,StylishCo,Germany,Organic,2024-10-03,92.05,1,16,COD,2,No,0,
ORD100204,CUST11390,PID6906,Electronics,Digitron,Australia,Google Ads,2023-08-08,142.51,1,32,Wallet,1,No,1,Not as Described
ORD100205,CUST14373,PID6030,Sports,GearHouse,UK,Referral,2024-07-19,95.12,1,33,Wallet,3,No,0,
ORD100206,CUST13680,PID5807,Electronics,Digitron,UK,Email,2023-08-13,398.87,1,30,Credit Card,1,No,0,
ORD100207,CUST13513,PID2144,Beauty,GlowLabs,Australia,Email,2024-01-20,31.1,3,33,UPI,1,No,0,
ORD100208,CUST14262,PID4855,Sports,Sportify,USA,Google Ads,2024-02-07,138.32,1,34,Wallet,8,No,0,
ORD100209,CUST10972,PID1586,Beauty,SkinCareInc,India,Organic,2024-09-29,10.01,1,40,Credit Card,6,No,0,
ORD100210,CUST11770,PID1561,Beauty,GlowLabs,USA,Google Ads,2023-05-10,45.52,1,41,Credit Card,8,Yes,0,
